model_name,aic,llf,df,model
M_temp,524.4856340999905,-257.24281704999527,5,DEVSTRAL
M_prompt,95.9887328405351,-41.99436642026755,6,DEVSTRAL
M_both,97.77070069465269,-41.885350347326344,7,DEVSTRAL
M_int,101.6190818127984,-41.8095409063992,9,DEVSTRAL
M_temp,539.4823783225177,-264.74118916125883,5,GEMMA_3N_E4B
M_prompt,153.36946356986584,-70.68473178493292,6,GEMMA_3N_E4B
M_both,153.35125584798055,-69.67562792399028,7,GEMMA_3N_E4B
M_int,155.34639103948496,-68.67319551974248,9,GEMMA_3N_E4B
M_temp,546.6348006291425,-268.3174003145713,5,NOVA_2_LITE
M_prompt,179.80331569816815,-83.90165784908407,6,NOVA_2_LITE
M_both,155.3177375311939,-70.65886876559695,7,NOVA_2_LITE
M_int,159.31773753070155,-70.65886876535077,9,NOVA_2_LITE
M_temp,534.6482093800618,-262.3241046900309,5,NOVA_MICRO
M_prompt,225.16817996032626,-106.58408998016313,6,NOVA_MICRO
M_both,225.88756103253394,-105.94378051626697,7,NOVA_MICRO
M_int,227.48455026244585,-104.74227513122293,9,NOVA_MICRO
